12/24/2021 15:14,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,TRUE,453.7,TRUE,457.25,24-12-2021,-938,short,250,FALSE,NSE:SBIN
12/27/2021 15:14,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,TRUE,456.7,TRUE,457.95,27-12-2021,262,long,250,FALSE,NSE:SBIN
12/28/2021 12:14,,,,,,,,,,
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,TRUE,459.45,TRUE,462.55,28-12-2021,-825,short,250,FALSE,NSE:SBIN
2021-12-29 15:14:26
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,True,459,True,455.15,29-12-2021,963,short,250,False,NSE:SBIN
2021-12-29 15:14:26
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,True,459.85,True,460.25,31-12-2021,50,long,250,False,NSE:SBIN
2022-01-03 15:14:26
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,True,436,True,470.25,03-01-2022,1800,long,250,False,NSE:SBIN
2022-01-04 15:14:26
,Entry,Entryprice,Exit,Exitprice,date,pnl,position,quantity,signal,strike
NSE:SBIN,True,476.9,True,483,04-01-2022,1525,long,250,False,NSE:SBIN
